ID,PA,PB,PC,PD,PE,PF,PG
PR40026,93.793434,63.68461,45.787106,36.844784,26.872082,-103.1822,-40.857037
PR40027,70.94923,48.24269,35.39969,28.269913,21.43128,-106.9162,-38.102173
PR40028,85.85087,58.60772,42.180447,33.84713,24.861757,-102.99765,-40.248207
PR40029,76.14933,51.70362,37.757515,30.11022,22.701468,-105.81297,-38.079544
PR40030,115.35871,77.43941,55.593132,43.323288,32.956455,-105.53186,-41.816837
PR40031,80.6425,54.66745,39.793423,31.772587,23.785923,-104.95855,-38.116905
PR40032,102.12155,69.30255,49.607655,39.531284,29.026869,-102.721596,-40.91255
PR40033,47.338833,33.091763,24.628498,19.824821,15.19814,-103.77868,-35.207623
PR40034,69.80076,48.392002,34.893444,27.752716,20.795856,-102.467316,-39.083115
PR40035,85.583885,58.599163,42.16813,33.11566,25.048384,-105.468475,-39.35379
PR40036,56.71469,39.80975,28.870358,23.452026,17.226974,-99.8631,-37.548218
PR40037,85.59275,58.721443,42.04349,33.47349,24.728079,-100.65758,-40.058865
PR40038,92.12876,62.953407,45.171535,35.205017,26.787111,-105.6576,-39.51831
PR40039,92.1528,62.865265,45.202038,35.12023,26.87874,-106.62127,-38.930298
PR40040,88.00506,60.29162,43.26541,33.762264,25.66207,-104.35068,-38.996315
PR40041,65.480286,45.08391,32.941887,25.76146,20.038586,-105.183655,-36.81386
PR40042,100.794464,68.67941,49.158817,37.94187,29.126505,-106.42546,-39.580536
PR40043,84.76937,58.220684,41.882298,32.196312,25.069208,-107.24408,-38.444016
PR40044,98.15627,66.902145,47.945103,36.998882,28.453218,-106.19299,-39.121353
PR40045,89.21324,61.197487,43.918728,33.54657,26.270138,-107.364334,-38.743004
PR40046,58.33137,40.605793,29.727737,22.806576,18.32254,-105.77423,-36.314087
PR40047,100.95812,68.78161,49.229088,37.861145,29.203901,-106.221344,-39.28505
PR40048,105.1646,70.3667,50.978485,40.726738,30.208937,-108.23886,-41.173107
PR40049,70.08553,47.615574,35.03516,27.831337,21.35833,-108.9585,-38.722145
PR40050,107.58937,72.34095,52.023914,41.276863,30.696028,-104.3802,-41.782658
PR40051,118.08,79.12709,56.84912,44.843765,33.513927,-106.13223,-42.091698
PR40052,81.50248,55.47826,40.237343,32.119118,24.033514,-106.765724,-40.45896
PR40053,67.80175,46.621128,33.809402,27.873432,20.089954,-100.811005,-41.25666
PR40054,125.256035,84.319916,60.24194,47.141647,35.28844,-106.04309,-41.27188
PR40055,90.80064,62.198837,44.646763,33.93224,26.778416,-108.13345,-39.096134
PR40056,99.371796,67.77931,48.501656,37.124985,28.833555,-105.91847,-39.03431
PR40057,85.82304,58.69164,42.280212,32.74668,25.261038,-105.50044,-38.13295
PR40058,113.383446,76.75814,54.858017,42.58199,32.317623,-106.068596,-40.56231
PR40059,97.90308,66.52501,47.828426,37.113323,28.447783,-107.8932,-39.81214
PR40060,87.928185,60.21511,43.26363,33.60382,25.70387,-104.99922,-38.031464
PR40061,80.95996,55.315693,40.162792,30.970238,24.353157,-111.76805,-39.91428
PR40062,65.93599,45.648716,33.236645,26.179222,20.11684,-107.44156,-38.681675
PR40063,74.78339,51.194866,37.29563,29.090729,22.605925,-109.86047,-38.952
PR40064,57.95514,39.723495,29.549963,23.318886,18.387928,-110.73914,-38.37482
PR40065,90.57563,61.464024,44.310417,35.54918,26.191921,-104.490585,-41.52738
PR40066,58.54991,40.51295,29.597837,24.677357,17.710375,-101.03743,-40.301693
PR40067,78.63346,53.68529,38.820557,31.59441,22.968815,-102.7288,-41.037167
PR40068,89.53414,60.78816,43.79369,35.499092,25.73479,-102.48426,-41.128517
PR40069,78.68928,53.820442,38.803997,31.77027,22.808876,-100.30472,-40.74997
PR40070,58.48169,40.7946,29.635357,24.44315,17.588573,-99.4858,-37.928307
PR40071,51.55575,36.731773,26.63203,20.075123,16.328045,-100.54053,-33.742508
PR40072,46.68017,33.374416,24.378906,18.551964,15.053348,-100.529106,-33.52828
PR40073,71.741066,49.436024,35.91511,27.983006,21.694786,-107.95479,-37.96365
PR40074,130.67403,86.11389,62.34119,46.11347,38.304134,-110.47414,-44.013725
PR40075,66.08266,46.124527,33.25378,25.8899,20.02211,-103.52521,-38.52382
PR40076,67.318985,46.384125,33.788113,26.026207,20.611013,-105.11609,-36.81861
PR40077,81.17144,56.058247,40.213863,30.622923,24.149717,-105.74011,-38.673046
PR40078,86.19138,59.12786,42.518627,32.729527,25.41521,-106.90929,-38.457546
PR40079,81.52447,56.0216,40.36388,31.205402,24.15268,-106.04265,-37.898552
PR40080,68.75834,47.797447,34.58649,26.354244,21.003067,-107.06407,-37.194756
PR40081,72.281334,48.916515,35.99803,28.828293,21.854496,-108.30769,-38.78666
PR40082,90.27039,61.102287,44.230587,35.37212,26.280527,-107.31397,-41.16686
PR40083,73.61788,49.85728,36.60364,29.24887,22.166399,-107.585365,-38.60029
PR40084,89.86055,60.788006,43.872288,35.18683,26.030777,-102.62091,-41.874817
PR40085,78.73676,53.172337,38.935997,31.090832,23.487734,-107.83432,-39.070354
PR40086,124.90186,83.846115,60.053665,47.60752,35.086945,-106.56594,-41.78754
PR40087,74.66813,50.69029,37.103294,29.678474,22.354687,-107.02911,-38.401302
PR40088,67.19341,46.408203,33.58136,27.507305,19.89679,-100.24993,-39.80297
PR40089,72.75349,49.435932,36.21143,28.994537,21.831442,-106.21521,-38.0064
PR40090,77.99836,53.51421,38.53897,31.24662,22.710657,-100.9904,-40.34548
PR40091,76.84864,52.15211,38.07194,30.499166,22.823294,-105.52462,-38.057133
PR40092,64.787636,44.349453,32.588596,26.010086,19.785566,-105.58363,-37.13539
PR40093,60.57636,42.33529,30.65955,24.660553,18.347996,-101.596405,-38.595634
PR40094,78.35633,53.845394,38.8479,30.721289,23.117147,-104.662445,-38.90342
PR40095,63.819534,44.487415,32.13295,25.729675,19.181282,-101.21017,-38.68577
PR40096,71.62638,49.400425,35.756622,28.528507,21.265842,-103.1485,-37.39164
PR40097,67.948364,47.197643,34.029984,27.14679,20.271622,-101.70932,-38.99985
PR40098,90.53215,61.834446,44.4446,34.796143,26.353369,-105.940056,-39.314552
PR40099,76.36739,52.560917,38.02779,29.439705,22.892994,-107.427826,-38.039192
PR40100,69.799416,48.42751,34.982094,27.299435,21.012865,-104.800545,-38.02619
PR40101,52.21008,36.449005,26.927963,20.981487,16.703629,-106.35588,-36.202465
PR40102,64.05598,44.738155,32.32147,25.34129,19.441236,-103.16019,-37.989944
PR40103,84.14205,57.73071,41.58872,32.154922,24.876661,-107.43367,-38.5325
PR40104,82.284904,56.58958,40.73498,31.421204,24.37692,-106.67677,-38.260048
PR40105,83.52316,57.3837,41.304436,31.856665,24.706102,-106.88762,-38.26654
PR40106,53.70087,37.46735,27.599503,21.490559,17.04919,-105.62074,-36.04251
PR40107,52.09556,37.022522,26.905231,20.857643,16.462578,-103.90922,-37.20477
PR40108,82.5454,56.72268,40.83902,31.543667,24.419645,-106.18448,-37.99102
PR40109,35.525505,25.547266,19.256245,15.156024,12.260681,-103.1902,-34.00471
PR40110,68.73067,47.854816,34.57897,26.377888,20.959465,-106.82836,-37.36109
PR40111,82.0968,56.412876,40.633858,31.40083,24.30806,-106.28952,-38.005478
PR40112,86.86593,59.58576,42.837116,32.94918,25.605247,-107.25836,-38.603348
PR40113,87.14625,59.836155,42.95866,32.949696,25.659084,-106.47457,-38.31741
PR40114,84.219,57.851284,41.61239,31.89796,24.939001,-106.636185,-38.207912
PR40115,72.35197,50.16029,36.23885,27.482933,21.999376,-107.76923,-37.653294
PR40116,50.642094,36.102413,26.215448,19.961369,16.032806,-100.56166,-33.726177
PR40117,45.237568,32.441185,23.719685,18.179443,14.619354,-100.17285,-33.317833
PR40118,51.83539,36.916676,26.758362,20.243172,16.369263,-100.38173,-33.716976
PR40119,47.88971,34.269302,24.944519,18.892681,15.355121,-100.27848,-33.45383
PR40120,46.415817,33.256664,24.260124,18.480568,14.943178,-100.046555,-33.319263
PR40121,44.904587,32.22481,23.567612,17.97715,14.565477,-100.25635,-33.311714
PR40122,43.37337,30.857714,22.931623,17.02111,14.696298,-107.003876,-35.56852
PR40123,88.33228,60.470703,43.492867,33.18371,26.1184,-107.79249,-38.902897
PR40124,83.43662,57.13729,41.240612,31.70839,24.811121,-107.79234,-38.670124
PR40125,79.401146,54.433544,39.38835,30.356735,23.76513,-107.7359,-38.41674
PR40126,82.017555,56.30619,40.619442,31.250198,24.413298,-107.92432,-38.54737
PR40127,97.70729,66.39177,47.752453,36.997284,28.444319,-108.58403,-40.01746
PR40128,115.62994,77.53239,55.83494,44.178627,32.939007,-109.29616,-42.00776
PR40129,108.96381,73.325325,52.76301,42.03798,31.048063,-107.28801,-41.970848
PR40130,67.022514,45.36105,33.58626,26.919567,20.574274,-108.82204,-38.652214
PR40131,109.69152,73.70024,53.102158,42.280727,31.280344,-107.86755,-41.576134
PR40132,81.55481,54.820286,40.180126,32.30764,24.17933,-107.65582,-39.371563
PR40133,127.21064,84.67948,60.979588,47.19007,36.38369,-109.25865,-43.280037
PR40134,119.82264,79.70877,57.529213,44.283195,34.58427,-108.1057,-43.19686
PR40135,125.70851,84.2677,60.422,47.88626,35.36551,-107.56392,-42.183197
PR40136,105.94097,71.31513,51.428013,40.660152,30.426575,-108.65436,-41.02049
PR40137,111.3593,74.278534,53.735752,43.216526,31.650023,-106.30054,-41.12304
PR40138,109.865265,73.846146,53.136936,42.41395,31.222752,-106.06993,-41.52192
PR40139,36.819126,26.570597,19.92063,14.993949,12.856944,-105.57935,-34.675453
PR40140,71.84292,49.898457,36.014523,27.284977,21.842667,-107.447815,-37.46321
PR40141,86.346016,59.238323,42.587082,32.67456,25.487703,-106.87586,-38.441017
PR40142,13.593231,11.405825,9.198028,7.017753,6.53138,-99.00649,-30.930868
PR40143,74.79704,51.84803,37.374023,28.232506,22.651386,-107.98448,-37.823288
PR40144,45.50415,32.64417,23.851498,18.276031,14.687082,-100.34708,-33.372543
PR40145,44.403435,31.884676,23.33696,17.921326,14.393511,-100.116554,-33.25161
PR40146,44.921783,32.2688,23.579481,17.992691,14.551851,-100.106804,-33.243317
PR40147,47.172924,33.801872,24.618557,18.719051,15.140489,-100.19149,-33.381645
PR40148,46.07409,33.044933,24.108162,18.393143,14.841709,-100.05528,-33.292633
PR40149,47.50553,34.003532,24.766846,18.742847,15.266911,-100.322754,-33.449368
PR40150,82.87356,56.54936,40.976795,31.86452,24.661362,-109.11307,-39.237946
PR40151,73.41479,50.260853,36.63958,28.726948,22.17311,-108.6617,-38.511147
PR40152,66.68243,46.297462,33.64221,25.58334,20.583761,-108.55276,-37.617035
PR40153,124.34197,83.62613,59.80828,46.810368,35.089264,-106.22502,-41.331028
PR40154,54.42796,37.73405,27.92707,21.696354,17.38845,-107.520515,-36.840668
PR40155,79.287285,54.366543,39.366554,30.341362,23.777878,-108.947655,-38.791794
PR40156,81.164314,55.360264,40.161804,31.487839,24.11379,-107.920456,-38.807533
PR40157,76.39602,52.41103,38.026455,29.632801,22.914627,-108.17224,-38.41357
PR40158,64.20886,44.09882,32.42291,25.486916,19.86079,-109.06692,-38.08427
PR40159,84.538826,57.491398,41.711033,32.593594,25.085606,-109.25668,-39.518456
PR40160,79.53472,54.12678,39.436977,31.018791,23.799854,-110.16441,-39.533634
PR40161,99.29348,67.065445,48.420776,37.960915,28.834457,-109.14988,-40.60314
PR40162,67.842995,46.08137,33.99594,27.088825,20.776276,-108.78618,-38.559406
PR40163,106.74352,71.78966,51.78725,40.872303,30.681877,-108.9456,-41.198883
PR40164,59.223053,40.38473,30.053322,23.98267,18.601084,-108.80742,-37.98761
PR40165,102.65534,69.17543,49.936928,39.50158,29.588387,-108.83828,-40.83882
PR40166,72.518326,48.996666,36.093334,28.839626,21.969809,-108.5634,-38.930466
PR40167,103.08019,69.435776,50.13574,39.59772,29.74,-109.30356,-41.02445
PR40168,67.73762,45.87088,33.91886,27.13401,20.757103,-108.76221,-38.651035
PR40169,98.1065,66.249985,47.881874,37.90565,28.429325,-109.3415,-40.837746
PR40170,113.552284,76.15562,54.887295,43.56693,32.368618,-109.27216,-41.876232
PR40171,92.32242,61.956085,45.081142,36.21517,26.827406,-106.357895,-39.669533
PR40172,95.04181,63.53889,46.27111,37.350147,27.495157,-105.844925,-39.853157
PR40173,116.662575,78.235565,56.287224,44.631733,33.116287,-108.112854,-41.69327
PR40174,96.929634,65.52593,47.296535,37.518852,28.03402,-107.44083,-40.80307
PR40175,50.836823,34.9033,26.211472,21.164608,16.352905,-107.71105,-37.05229
PR40176,117.273735,78.70151,56.575283,44.8135,33.26005,-107.94087,-41.632484
PR40177,77.43835,52.155823,38.268414,30.924225,23.009544,-105.7352,-38.45375
PR40178,104.31942,70.30999,50.685986,40.123955,29.95338,-107.94367,-40.64333
PR40179,53.97386,37.01157,27.628313,22.247581,17.105677,-106.64325,-36.893642
PR40180,108.211395,72.88022,52.44838,41.608807,30.871105,-107.06814,-40.634727
PR40181,57.799347,39.562916,29.358511,23.695702,17.991476,-105.46687,-36.766014
PR40182,69.451164,47.807568,34.862736,27.32964,21.11743,-108.61734,-38.11778
PR40183,42.34177,30.374815,22.434277,17.716293,13.981733,-105.11794,-37.273846
PR40184,73.9385,50.77893,36.900948,28.97527,22.207893,-107.89099,-38.186203
PR40185,56.01267,39.322735,28.713673,22.450645,17.54248,-106.06069,-37.32632
PR40186,64.24033,44.55962,32.48953,25.335491,19.73606,-107.35344,-37.21755
PR40187,86.165016,58.898144,42.48542,33.2974,25.28513,-107.25823,-38.77001
PR40188,82.38758,56.315308,40.728634,32.10387,24.269537,-106.604416,-38.384487
PR40189,86.79891,59.232513,42.74142,33.58771,25.413595,-106.500824,-38.636227
PR40190,93.109436,63.54052,45.644287,35.7101,27.007502,-106.14699,-38.890053
PR40191,78.18015,53.75047,38.83898,30.239124,23.265131,-106.52803,-37.89395
PR40192,45.579582,31.905355,23.786755,19.28648,14.662881,-102.26312,-34.632393
PR40193,98.393196,66.99551,48.034084,37.10791,28.509575,-105.91857,-39.09626
PR40194,103.438736,70.42444,50.361454,38.65403,29.862839,-106.21717,-39.43822
PR40195,86.80486,59.48386,42.711937,33.12929,25.368826,-103.32965,-37.409813
PR40196,88.40259,60.68401,43.53731,32.976276,26.13857,-107.03873,-38.528828
PR40197,85.37425,58.755608,42.144955,31.85915,25.322008,-106.06543,-37.96207
PR40198,97.46476,66.509445,47.60712,36.441376,28.315353,-105.035416,-38.632023
PR40199,103.94574,70.82184,50.59729,38.520718,30.080029,-106.20665,-39.3954
PR40200,102.60287,69.86333,49.98342,38.160805,29.740902,-106.741905,-39.537197
PR40201,100.42984,68.39058,48.966385,37.505745,29.12349,-105.91872,-39.16684
PR40202,107.61756,73.24065,52.281113,39.83956,31.021736,-106.46946,-39.730614
PR40203,115.32434,78.072556,55.73559,42.927383,32.887222,-105.46109,-40.13868
PR40204,105.114174,71.512436,51.127274,39.17214,30.331053,-106.48758,-39.64217
PR40205,87.87658,59.65936,43.131565,33.628345,25.819056,-105.192,-38.45813
PR40206,101.55762,69.0486,49.506916,38.14949,29.420256,-107.51961,-39.83604
PR40207,99.33785,67.71047,48.4863,37.507652,28.754055,-106.76562,-40.24332
PR40208,97.65302,66.30044,47.697487,36.9842,28.408457,-107.78824,-39.799686
PR40209,78.12277,53.1668,38.657772,30.307236,23.289547,-104.85821,-37.74801
PR40210,106.75994,72.13809,51.82014,40.552425,30.635126,-107.25249,-40.393787
PR40211,95.029686,64.42717,46.46402,36.5765,27.566437,-106.955414,-39.506763
PR40212,112.461525,75.82791,54.405952,42.774334,32.01936,-106.80494,-40.70438
PR40213,121.0664,81.3441,58.305912,46.1573,34.127193,-106.4806,-41.324516
PR40214,68.687706,46.650818,34.305855,27.546856,20.777851,-105.132645,-37.458893
PR40215,105.65131,71.31355,51.300396,40.38773,30.301224,-107.27214,-40.41209
PR40216,103.69332,70.06534,50.434242,39.762722,29.800362,-108.01863,-40.494133
PR40217,83.66776,56.371834,41.14073,32.989685,24.628654,-106.015366,-38.8748
PR40218,87.9751,60.129383,43.293392,33.934784,25.69862,-106.27575,-38.75182
PR40219,76.83552,52.72275,38.145668,30.350424,22.638493,-103.65642,-37.04253
PR40220,77.22878,53.167576,38.40448,29.864147,23.008137,-106.161835,-37.678352
PR40221,93.80813,63.912334,45.936855,35.90837,27.210896,-105.83905,-38.843124
PR40222,91.91671,62.60571,45.059105,35.37493,26.689808,-105.638504,-38.705914
PR40223,93.99619,64.03505,46.01936,35.946297,27.264462,-105.739265,-38.82223
PR40224,110.62577,74.90059,53.583656,41.8515,31.499517,-105.175514,-39.8375
PR40225,93.01141,63.397175,45.555244,35.556248,26.995258,-105.065384,-38.529076
PR40226,100.896385,68.713135,49.187958,38.09096,29.084,-105.59157,-39.12349
PR40227,82.20096,56.336544,40.59495,31.903217,24.086752,-103.2836,-37.200333
PR40228,65.705635,45.291275,33.036655,25.57425,20.145636,-104.61327,-36.581013
PR40229,111.76119,75.65696,54.096043,42.142784,31.815033,-104.96654,-39.83178
PR40230,85.00804,58.19742,41.8793,32.747192,24.857578,-103.46053,-37.42522
PR40231,119.2671,80.715576,57.551445,44.50992,33.81741,-105.42799,-40.38197
PR40232,104.45711,71.13445,50.835537,38.885345,30.1637,-106.40121,-39.526493
PR40233,101.981636,69.45277,49.693977,38.062885,29.524902,-106.346115,-39.381344
PR40234,103.27697,70.34408,50.293583,38.43821,29.877373,-106.43797,-39.46424
PR40235,81.77392,56.294956,40.47472,30.788445,24.335032,-105.52699,-37.62718
PR40236,53.011368,37.239723,27.283445,20.404408,17.048737,-104.509735,-35.403564
PR40237,100.5111,68.45706,49.014057,37.54234,29.152372,-106.246216,-39.26838
PR40238,68.2447,47.098454,34.195423,26.048725,20.867245,-103.83722,-36.372177
PR40239,103.70215,70.46149,50.478294,38.702267,30.03249,-107.430016,-39.93365
PR40240,95.210106,64.92267,46.57544,35.91655,27.697905,-105.57011,-38.745895
PR40241,99.672386,67.70822,48.63004,37.635986,28.915453,-107.572235,-39.80801
PR40242,57.586918,39.562763,29.24533,23.49057,17.864056,-103.59383,-36.04485
PR40243,108.78819,73.535675,52.78657,41.230854,31.202131,-108.46314,-40.870667
PR40244,77.469505,52.547222,38.390568,30.18911,23.264172,-107.88481,-38.810783
PR40245,73.75,50.068356,36.694504,28.793976,22.370663,-108.39078,-38.731644
PR40246,73.1887,49.604393,36.361202,29.077873,21.956976,-105.29609,-37.81913
PR40247,84.521034,56.91607,41.505764,33.31747,24.801657,-105.07103,-38.646904
PR40248,96.71397,64.86784,47.04466,37.77675,27.852411,-104.31101,-39.30357
PR40249,127.577,84.830414,61.07867,46.55399,36.692852,-107.86839,-42.58963
PR40250,112.57121,76.1945,54.48168,42.60726,31.979004,-105.37929,-40.032433
PR40251,74.38096,50.7839,36.936443,29.091137,22.214748,-103.40097,-36.982277
PR40252,97.02836,66.14797,47.416565,36.679092,28.11676,-105.6127,-38.875122
PR40253,116.50985,78.86089,56.28673,43.62152,33.095512,-105.45069,-40.236813
PR40254,100.296524,68.285645,48.909557,37.70671,29.011562,-105.93448,-39.198265
PR40255,99.86623,68.01788,48.716152,37.498177,28.91919,-105.99591,-39.17228
PR40256,80.456635,55.309605,39.751724,30.898754,23.623789,-100.59242,-36.102367
PR40257,71.258965,49.35881,35.652264,27.465794,21.466005,-104.24538,-36.548306
PR40258,86.71429,59.526283,42.756603,32.539986,25.657331,-106.84665,-38.399952
PR40259,67.5245,46.59648,33.875423,25.879482,20.685356,-104.3808,-36.52375
PR40260,91.03633,62.01547,44.521877,35.655037,26.176832,-102.39818,-40.86657
PR40261,113.73231,76.79661,54.98869,43.34576,32.27188,-106.53309,-41.62313
PR40262,121.870155,81.55385,58.55792,45.024696,34.916893,-106.94924,-42.173576
PR40263,92.9063,63.32491,45.473232,35.824856,26.878782,-104.81969,-40.013145
PR40264,73.534134,50.18085,36.593044,28.773422,22.117783,-105.75542,-37.704662
PR40265,77.80292,53.00115,38.561398,30.246738,23.250826,-106.53226,-38.233074
PR40266,66.85738,46.54031,33.535156,26.595722,20.041965,-101.81992,-39.21492
PR40267,99.74597,67.922714,48.593502,38.074707,28.643476,-104.37422,-40.624218
PR40268,69.6587,48.324734,34.842,27.481949,20.800047,-102.15426,-38.03918
PR40269,88.69939,60.808716,43.59623,33.7502,25.957403,-105.270035,-39.79943
PR40270,90.7761,62.17857,44.55369,34.396152,26.526608,-105.56466,-39.841698
PR40271,98.974625,67.56088,48.32254,37.054974,28.714508,-106.11814,-39.62427
PR40272,83.01888,57.243782,40.965565,31.638065,24.425402,-103.25908,-39.70721
PR40273,97.38723,66.55582,47.597015,36.45739,28.32047,-106.19643,-39.928005
PR40274,83.45599,57.453075,41.28027,31.402216,24.82066,-107.12643,-38.671555
PR40275,88.887276,61.09732,43.674587,33.406406,26.071936,-104.4422,-39.906708
PR40276,105.7149,71.96513,51.44152,39.14145,30.61638,-108.00443,-40.103386
PR40277,105.16847,71.57349,51.181988,39.018738,30.451832,-107.78046,-40.023727
PR40278,66.92369,46.839462,33.64915,25.508438,20.412271,-103.3086,-38.279617
PR40279,126.6298,84.981155,60.87085,47.848267,35.718616,-108.14688,-42.226746
PR40280,123.47842,82.92673,59.42049,46.867905,34.826893,-107.28872,-41.73681
PR40281,86.22478,58.056904,42.31638,33.819366,25.324488,-106.44252,-39.177162
PR40282,121.832405,81.94397,58.68693,46.37075,34.340004,-107.0056,-41.4718
PR40283,119.13024,80.08035,57.415287,45.401024,33.64143,-106.19019,-41.08546
PR40284,127.23553,84.70703,60.947853,46.767082,36.454506,-107.55832,-42.428257
PR40285,128.80971,85.43004,61.603043,46.442184,37.291058,-108.92829,-43.107674
PR40286,108.855965,73.573044,52.740253,41.81643,30.915163,-105.39998,-40.895447
PR40287,108.828224,73.60472,52.71036,41.741898,30.902012,-104.85976,-41.257755
PR40288,86.88764,58.81181,42.665665,33.7517,25.486263,-105.827225,-38.775146
PR40289,91.56553,62.43131,44.84377,35.477924,26.497866,-104.6421,-40.490532
PR40290,87.4112,59.797546,42.923897,34.00753,25.36426,-103.33657,-40.341606
PR40291,68.58938,47.63117,34.33905,27.211159,20.532156,-102.7075,-39.5113
PR40292,98.5297,66.9973,48.04027,37.82618,28.3197,-104.901505,-40.312973
PR40293,76.35438,52.694843,37.912197,29.776241,22.62111,-103.74949,-39.5907
PR40294,67.635216,46.52154,33.955746,26.29966,20.719692,-106.59627,-37.376514
PR40295,90.13424,61.655586,44.26326,34.39195,26.331526,-106.06321,-39.77358
PR40296,64.23489,44.78023,32.33958,25.678474,19.31564,-100.83063,-37.421253
PR40297,90.10714,61.662064,44.24618,34.37358,26.313353,-105.81988,-39.851345
PR40298,89.07203,61.053944,43.65356,34.36936,25.754742,-101.54437,-40.446106
PR40299,76.220955,52.23009,37.893967,29.175713,22.96949,-107.022644,-38.04387
PR40300,79.57584,54.934917,39.388817,30.622803,23.49841,-103.4039,-39.755516
PR40301,70.78712,48.688625,35.39803,27.242386,21.535465,-106.066086,-37.342106
PR40302,100.62882,68.60715,48.98513,38.127724,28.889462,-103.39865,-40.445827
PR40303,99.30378,67.72508,48.474476,37.249756,28.807013,-106.60411,-39.8608
PR40304,105.58523,71.8853,51.385185,39.153526,30.562334,-108.00125,-40.095146
PR40305,98.99324,67.63796,48.34069,36.891823,28.779255,-106.47348,-39.992958
PR40306,103.44782,70.492485,50.39134,38.463585,29.966116,-107.3241,-40.036373
PR40307,100.22266,68.32781,48.905636,37.414364,29.092157,-106.71878,-39.35441
PR40308,64.545845,45.27652,32.551907,24.829983,19.745935,-103.0563,-38.508057
PR40309,118.56146,80.31464,57.26298,43.93371,33.79049,-106.80397,-40.77165
PR40310,104.78016,71.36101,51.009907,38.84783,30.354809,-107.78172,-40.09825
PR40311,105.69671,71.930275,51.42806,39.217648,30.585037,-107.88952,-40.089355
PR40312,81.05195,55.974236,40.0623,30.836815,23.93593,-102.89889,-39.394646
PR40313,102.75335,70.04939,50.082184,38.158974,29.804962,-107.3967,-39.78696
PR40314,105.595055,71.87564,51.385963,39.107533,30.588001,-108.0584,-40.120605
PR40315,73.31591,50.876923,36.59421,27.706173,22.076733,-103.42836,-36.267696
PR40316,121.7213,81.47696,58.474964,47.17027,33.9437,-102.62334,-40.422874
PR40317,127.57225,84.20333,60.93117,46.429466,36.883823,-107.64595,-42.94294
PR40318,131.28706,84.931366,62.224106,44.484028,39.49704,-110.714775,-45.066067
PR40319,122.54452,80.74177,58.513493,45.04471,35.318745,-103.26402,-41.347023
PR40320,76.11264,51.892147,37.605644,30.633093,22.08558,-97.166046,-35.224415
PR40321,92.49415,62.89503,45.288857,34.75554,27.156193,-106.10413,-38.879158
PR40322,90.95083,62.322437,44.65593,34.205746,26.613092,-105.20232,-38.36021
PR40323,104.06577,70.89432,50.670856,38.54756,30.156475,-107.10953,-39.694324
PR40324,100.470276,68.49223,49.011307,37.443764,29.163225,-106.45761,-39.28161
PR40325,71.01703,49.51452,35.535847,26.939789,21.512619,-104.32787,-38.944866
PR40326,82.83103,57.164814,40.99002,30.91092,24.71872,-106.85536,-39.159584
PR40327,59.48289,41.45397,30.297415,22.513958,18.912407,-107.745964,-36.891582
PR40328,115.1876,77.56616,55.687126,43.621216,32.86728,-109.0822,-41.644276
PR40329,111.016914,74.492294,53.500137,43.382195,31.007023,-98.25595,-38.257034
PR40330,97.23969,65.58203,47.258255,38.270996,27.569643,-99.22555,-37.491253
PR40331,78.87035,54.174564,39.133015,30.252974,23.511814,-106.19454,-37.834187
PR40332,65.20608,45.34332,32.939377,25.19402,20.08905,-106.957214,-37.0081
