Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDK60,OUT017,1594.264
FDZ25,OUT017,2831.839
FDG12,OUT046,2078.5833
DRB01,OUT019,524.433
NCC43,OUT027,6610.854
FDX13,OUT019,576.60254
FDM22,OUT049,827.9308
FDJ03,OUT027,1378.4679
FDU14,OUT018,3841.9685
FDB33,OUT010,339.18222
FDP27,OUT046,3132.8647
FDO38,OUT010,142.5385
FDE28,OUT027,6204.525
FDO27,OUT035,1621.3497
DRL23,OUT027,2970.426
FDS28,OUT046,912.6173
FDX24,OUT013,1387.8939
FDZ02,OUT035,1692.5804
FDL46,OUT045,1876.2723
FDS60,OUT027,4766.3423
NCO06,OUT017,506.57184
FDO16,OUT035,1485.6184
FDC60,OUT049,1386.762
FDA48,OUT018,3329.414
FDZ36,OUT027,4905.584
FDK27,OUT045,1978.0503
FDW23,OUT018,342.246
FDM14,OUT018,1528.5646
FDM14,OUT013,1748.7128
FDW60,OUT018,2706.9583
FDE21,OUT013,1954.7362
NCM42,OUT035,1905.1407
FDY59,OUT010,226.4442
DRI49,OUT049,1221.8364
FDT28,OUT019,343.66913
FDQ22,OUT018,345.5615
FDR60,OUT049,1167.6974
FDC50,OUT019,265.46094
FDV24,OUT013,2529.4956
DRF48,OUT010,447.43417
FDQ47,OUT046,555.2333
DRN36,OUT049,1572.0756
NCY06,OUT035,2190.8813
FDE52,OUT035,1560.231
NCB54,OUT045,2081.7065
NCF31,OUT035,2608.6658
FDJ08,OUT027,5102.517
NCC07,OUT017,1755.6964
NCD19,OUT027,1442.4846
FDL46,OUT049,1883.4153
FDM20,OUT045,4064.2034
NCI06,OUT010,448.79773
DRM11,OUT035,4374.2515
NCH07,OUT018,2321.451
FDS23,OUT013,2167.0466
FDO49,OUT018,527.9054
FDS35,OUT049,996.74274
DRK39,OUT045,1325.4067
DRI39,OUT049,863.94293
FDV04,OUT017,2616.6777
NCN14,OUT035,3069.6448
FDH08,OUT013,3998.0522
FDS20,OUT046,3027.6724
FDV40,OUT049,1185.9076
FDZ48,OUT010,263.36722
FDS24,OUT027,2348.663
FDK44,OUT049,2793.7751
FDS48,OUT045,2444.0808
FDK26,OUT010,445.94437
FDD23,OUT045,3117.7231
NCH54,OUT017,2679.3955
NCP14,OUT010,273.23557
FDM60,OUT010,113.63386
FDV24,OUT017,2512.9822
FDH08,OUT018,3114.2104
FDS12,OUT027,3433.6023
FDR39,OUT027,4819.724
FDP12,OUT027,1024.0054
DRF60,OUT027,5266.837
FDC09,OUT035,1767.8694
FDF50,OUT018,3020.191
FDG28,OUT035,4135.3804
NCE19,OUT017,913.0594
NCM53,OUT010,268.22757
NCN18,OUT049,1789.2034
FDF32,OUT035,3344.9495
FDF11,OUT013,4137.6055
DRI59,OUT049,3686.7532
NCG54,OUT035,2872.6113
FDM44,OUT046,1659.8416
FDT57,OUT018,2987.657
FDV24,OUT046,2488.8748
FDI50,OUT019,540.7958
FDS09,OUT035,917.9994
NCC31,OUT027,4089.4333
FDQ07,OUT019,543.0309
FDC22,OUT017,3184.5303
FDZ56,OUT046,2795.2852
FDZ40,OUT019,119.78622
FDS46,OUT027,3146.8462
DRD24,OUT045,2290.2798
FDV45,OUT017,3142.0046
FDL26,OUT045,2516.9307
FDA56,OUT018,1754.2427
FDN27,OUT046,1917.6461
FDM20,OUT049,4023.9453
FDO16,OUT017,1397.307
FDL03,OUT035,3316.2932
FDE58,OUT046,1897.3623
FDI02,OUT027,3047.7363
NCC55,OUT019,104.12638
FDR03,OUT018,3147.5146
FDB14,OUT017,1495.8716
FDR45,OUT013,4127.1274
NCN07,OUT017,2157.652
FDM51,OUT019,276.64993
FDT52,OUT027,6472.335
FDL26,OUT046,2509.7256
NCZ42,OUT046,3697.2395
DRI47,OUT019,309.52243
FDW40,OUT013,2293.64
FDN34,OUT046,2791.434
FDS01,OUT035,3034.7397
NCG55,OUT045,1888.1924
FDC11,OUT035,1444.2854
FDX35,OUT018,3491.3198
NCB06,OUT046,2622.188
FDR09,OUT019,641.28973
FDC53,OUT017,1620.7567
FDY45,OUT013,4360.5503
FDA22,OUT010,406.83313
FDE02,OUT035,1607.675
FDW21,OUT045,1689.3434
FDV34,OUT046,1235.3313
FDS59,OUT049,1757.4366
NCW17,OUT017,2128.5085
NCK54,OUT046,1937.9425
FDG17,OUT019,586.7065
FDG35,OUT017,2861.253
FDD08,OUT010,66.22933
NCO07,OUT017,3547.413
FDJ10,OUT010,457.09933
FDW36,OUT017,1727.7294
FDW21,OUT010,306.04025
FDY19,OUT017,1944.6185
DRE03,OUT013,754.4892
NCC55,OUT049,569.7317
FDH52,OUT010,152.0345
FDO09,OUT017,4347.2095
FDU43,OUT045,3940.8896
FDX09,OUT010,447.73566
FDH40,OUT019,197.59743
FDW58,OUT017,1731.9884
FDC47,OUT017,3743.9038
NCR41,OUT035,1627.6844
DRG49,OUT035,4130.974
FDC52,OUT027,4114.7803
FDY13,OUT046,1218.5499
FDY35,OUT013,464.80252
FDI35,OUT017,3020.8486
NCU18,OUT049,2288.5027
FDY33,OUT018,2334.778
FDC15,OUT027,4269.59
FDU01,OUT049,3026.5967
NCU42,OUT046,2826.076
NCV29,OUT018,2674.363
NCY30,OUT017,3039.4968
FDQ46,OUT049,1794.3702
FDG58,OUT027,4128.224
FDK33,OUT017,3547.5552
NCD07,OUT045,1891.2155
NCX29,OUT027,3799.825
NCT42,OUT013,2344.3389
DRN59,OUT035,788.15405
FDI44,OUT035,1329.1304
FDA45,OUT049,2726.3875
FDP31,OUT045,991.626
FDY01,OUT046,1861.0387
FDT09,OUT018,1932.5122
DRH03,OUT027,2659.537
FDA36,OUT018,2827.6035
NCF31,OUT017,2563.694
FDG14,OUT049,2468.534
FDG28,OUT027,6546.679
FDU14,OUT049,4094.3396
FDY47,OUT019,322.02887
FDI56,OUT049,1426.5433
DRD01,OUT013,923.6527
FDM22,OUT046,885.35144
FDH33,OUT013,673.529
DRZ24,OUT013,2068.4329
NCQ38,OUT046,1735.2017
FDO16,OUT027,2305.4932
FDU07,OUT027,3988.009
NCB07,OUT013,3254.1526
FDU48,OUT045,2134.74
NCM43,OUT045,2719.5054
FDR31,OUT010,367.41843
DRK49,OUT018,366.8587
NCI30,OUT010,600.7788
DRD60,OUT017,3000.5208
NCG19,OUT046,3843.6477
FDH12,OUT035,1786.4103
FDM32,OUT035,1560.8331
FDM27,OUT035,2625.6226
NCU53,OUT027,4362.837
NCQ18,OUT046,1587.8958
FDS10,OUT013,3018.82
FDB33,OUT027,4282.0674
FDI12,OUT013,1394.3259
NCW42,OUT013,3686.0874
NCC06,OUT018,1831.969
FDW02,OUT017,2130.6548
NCD43,OUT017,1757.7726
FDM57,OUT018,1081.4374
FDA58,OUT017,3924.3809
FDK56,OUT046,3028.207
FDP52,OUT045,3796.2625
FDW20,OUT018,1745.5497
FDS52,OUT049,1627.6678
NCT29,OUT018,1690.3928
NCL54,OUT013,2913.3247
FDC05,OUT045,3242.9495
FDF34,OUT035,3367.2153
FDP03,OUT027,3328.885
FDD32,OUT010,195.1358
FDZ10,OUT045,2061.894
FDZ40,OUT035,965.187
FDD51,OUT018,383.07053
NCY30,OUT019,454.71292
FDP58,OUT017,3599.6082
FDV49,OUT017,4415.8813
FDY24,OUT019,190.99666
NCO55,OUT017,1770.1748
FDR13,OUT017,1962.3429
FDS51,OUT017,1028.614
FDP26,OUT045,1669.0836
NCB54,OUT027,3427.054
FDF32,OUT017,3253.1794
FDN31,OUT018,2834.585
DRM48,OUT017,551.3945
FDN20,OUT049,2735.3618
DRL01,OUT046,3714.1414
FDV56,OUT049,1739.3849
DRH13,OUT027,2982.74
FDA03,OUT017,2407.5642
FDF47,OUT027,5791.0044
FDX32,OUT046,2403.3782
FDX57,OUT049,1550.207
NCA30,OUT045,3087.5833
FDO49,OUT013,643.8428
FDL04,OUT019,217.94508
DRM48,OUT035,629.903
FDR16,OUT013,3614.2302
NCC19,OUT018,2908.383
NCE42,OUT045,3877.8027
FDY24,OUT017,912.764
FDH19,OUT049,2839.7202
FDJ46,OUT013,2972.436
FDN45,OUT010,546.3867
FDY08,OUT035,2364.4578
FDZ37,OUT035,1533.1611
NCT30,OUT045,744.2008
DRY23,OUT018,382.2519
NCZ30,OUT018,1753.7833
FDC44,OUT018,1513.7635
FDB45,OUT035,1770.0221
FDY04,OUT013,2640.317
FDM27,OUT046,2658.7349
FDZ43,OUT017,4037.5232
FDT39,OUT019,405.35788
NCC06,OUT019,317.26257
FDL15,OUT027,4136.2515
FDL57,OUT017,4205.345
FDU08,OUT046,1626.8138
FDK40,OUT017,4240.953
FDQ12,OUT010,536.02094
FDS48,OUT017,2512.2344
FDP09,OUT045,3476.3662
FDW21,OUT049,1639.0586
FDY25,OUT035,3077.536
DRE13,OUT017,1432.1766
FDV43,OUT019,89.56425
FDD22,OUT045,1795.5023
FDM46,OUT019,228.1573
NCO30,OUT010,460.39053
FDM25,OUT046,2875.9585
NCN41,OUT049,1972.6027
FDU24,OUT045,1503.0808
FDZ50,OUT046,3040.3176
FDP45,OUT013,4298.829
NCM54,OUT045,2046.9801
FDW10,OUT019,445.8565
FDP20,OUT017,2101.1514
FDK32,OUT046,2488.121
FDN52,OUT049,1380.1068
FDM58,OUT045,1798.6298
FDZ46,OUT027,2940.9507
NCA18,OUT018,1652.7203
FDD35,OUT046,2005.6884
NCK31,OUT035,893.0281
FDI40,OUT027,2736.0342
FDT50,OUT019,245.83704
NCT06,OUT046,2717.2236
FDT31,OUT035,3176.9675
FDT45,OUT049,805.3881
FDT13,OUT045,3074.0215
FDO50,OUT045,1439.0372
NCU18,OUT010,357.07806
NCR54,OUT049,3167.764
NCO18,OUT018,2679.557
FDU09,OUT045,914.4578
FDT13,OUT018,2820.5627
FDE09,OUT046,1849.6869
NCK53,OUT019,253.3736
FDG45,OUT049,3484.367
DRH15,OUT035,769.9872
FDO21,OUT019,588.51587
FDD14,OUT027,4712.7334
FDC09,OUT046,1686.9923
FDH45,OUT027,1235.4814
FDV32,OUT046,1049.1582
FDG12,OUT035,2075.757
FDS32,OUT013,2262.1868
NCL55,OUT018,3217.6418
DRE01,OUT035,4066.41
DRE15,OUT049,1207.044
NCL42,OUT045,4065.9277
FDP31,OUT013,1001.08356
FDN33,OUT018,1254.3282
FDZ59,OUT046,2733.784
FDE45,OUT010,392.37817
FDJ07,OUT013,1958.3677
FDQ45,OUT018,2808.8787
FDM33,OUT027,5849.9824
FDO15,OUT010,212.35832
FDM46,OUT013,1570.8573
FDR03,OUT045,3405.9766
FDY49,OUT018,2485.0347
FDQ60,OUT045,1939.8744
FDW10,OUT049,2842.8462
FDO51,OUT049,705.36127
FDJ40,OUT018,1509.7965
FDS20,OUT018,2736.3118
FDU45,OUT013,1757.8113
FDV02,OUT035,2857.8352
FDN09,OUT046,3519.0496
NCM55,OUT027,4918.105
FDN23,OUT018,2116.6804
FDY31,OUT010,345.17078
FDW03,OUT010,304.43048
FDD14,OUT046,2402.6853
FDV23,OUT017,2065.8
DRI03,OUT045,2894.1448
FDN13,OUT035,1641.2976
FDF45,OUT027,1673.3558
FDU46,OUT035,1548.1235
FDB57,OUT049,3637.1123
FDV12,OUT049,1589.2212
FDQ58,OUT013,2503.983
NCA18,OUT017,1933.2202
FDH52,OUT049,959.4558
FDM24,OUT018,2211.8518
NCP43,OUT027,4767.279
NCO18,OUT019,442.92853
FDM32,OUT017,1494.2206
NCL07,OUT017,632.8846
FDK03,OUT013,4379.464
FDP59,OUT017,1679.8474
FDQ24,OUT049,4094.2412
FDQ16,OUT018,1496.5945
FDU44,OUT013,2629.8696
FDH28,OUT010,67.70093
FDV28,OUT019,422.93137
FDM22,OUT045,861.50757
FDR56,OUT046,3226.3918
FDV39,OUT049,3236.645
FDU37,OUT019,261.56277
FDQ11,OUT010,612.38257
FDX02,OUT045,3667.8987
NCS42,OUT018,1244.9979
FDY57,OUT027,2494.7979
FDB21,OUT049,3930.636
FDE28,OUT017,3808.9602
FDQ55,OUT017,1903.925
FDA48,OUT049,3609.51
FDZ19,OUT045,2861.531
NCC43,OUT045,4165.4644
NCV18,OUT046,1336.1375
NCA42,OUT018,2371.6736
FDY45,OUT046,3659.277
NCC30,OUT045,2936.7983
FDM57,OUT013,1351.2617
FDL09,OUT010,439.55234
FDB09,OUT027,3429.3403
FDT44,OUT035,1998.1034
NCT06,OUT027,4322.8623
FDX26,OUT049,2960.0916
FDK32,OUT013,2485.822
DRA12,OUT046,2359.4302
FDO46,OUT010,502.0284
FDE52,OUT013,1377.4707
NCH42,OUT045,3818.1384
FDV08,OUT035,769.5661
FDB47,OUT018,2864.7761
FDC28,OUT010,221.33119
FDD22,OUT046,1846.7721
FDS07,OUT027,3108.1155
DRI13,OUT045,3565.9639
FDG32,OUT018,3334.0073
FDU14,OUT017,4156.6294
FDD28,OUT019,96.509514
NCP41,OUT017,1826.1185
FDS08,OUT049,2863.1948
FDX47,OUT045,2614.5679
FDC53,OUT019,197.5236
FDQ19,OUT035,4113.746
FDL14,OUT045,2560.7773
FDM33,OUT019,540.4545
FDA51,OUT045,1809.9183
FDZ27,OUT018,525.1816
FDT04,OUT046,617.3804
DRC13,OUT049,2036.5223
FDR16,OUT027,5695.5386
FDQ03,OUT027,6258.0166
FDE38,OUT035,2853.9675
DRH23,OUT027,1667.676
FDT11,OUT019,449.5164
FDD09,OUT035,3044.2563
FDR40,OUT045,1330.7804
FDX07,OUT017,3062.1675
FDR07,OUT035,1628.4293
FDA51,OUT017,1866.8417
FDT59,OUT019,517.27936
FDF20,OUT017,3241.3154
FDR13,OUT045,1891.8717
FDY26,OUT049,3440.8064
FDW04,OUT017,2178.605
FDK52,OUT017,3743.0054
FDN60,OUT049,2523.0513
FDM09,OUT019,455.10873
FDP46,OUT049,1378.4614
FDB50,OUT019,344.65704
NCQ29,OUT049,4237.3896
FDP16,OUT027,6535.8535
FDX33,OUT018,2384.536
FDP07,OUT010,445.49774
FDN22,OUT046,4035.4324
FDF39,OUT049,4289.43
FDS21,OUT017,1012.3211
NCM42,OUT013,1620.4862
FDK50,OUT019,350.86505
DRF13,OUT027,4014.9553
FDH35,OUT018,2403.6401
FDP60,OUT018,1330.2054
DRJ49,OUT027,3567.7136
NCT42,OUT019,377.35022
FDE38,OUT049,2733.3792
FDI04,OUT049,3240.4998
NCH54,OUT045,2578.9219
FDT56,OUT049,892.13745
DRD15,OUT018,3384.5125
FDV58,OUT013,3277.7268
FDP21,OUT049,3091.7253
FDH05,OUT013,4042.7717
FDR10,OUT027,4315.1885
NCP06,OUT045,2432.504
FDF33,OUT049,1722.5885
DRK37,OUT013,3325.2202
DRH49,OUT045,1319.2107
FDT58,OUT013,2822.7085
FDD41,OUT018,1436.0911
FDP40,OUT018,1569.2845
FDM51,OUT027,2739.2349
FDO45,OUT010,254.41455
FDW33,OUT010,279.95242
FDY24,OUT045,883.37714
FDB10,OUT010,564.84143
FDM40,OUT035,2370.503
NCI06,OUT017,3018.4438
FDW12,OUT019,377.3004
FDX48,OUT027,4085.7834
NCW05,OUT027,2824.1187
FDX27,OUT017,1546.5254
DRM37,OUT045,3225.7363
FDA38,OUT045,3995.808
FDR36,OUT046,636.6853
FDZ45,OUT046,3282.2385
FDG05,OUT017,2630.3948
FDK28,OUT013,4502.278
FDV47,OUT045,1361.9
FDN21,OUT045,2600.8643
FDP20,OUT027,3376.8042
FDI35,OUT045,2980.4568
DRY23,OUT013,622.70874
FDA56,OUT017,2049.8025
FDB09,OUT013,2122.7688
NCO26,OUT027,3099.1316
FDQ49,OUT018,2295.7112
FDI52,OUT027,3336.8474
FDZ44,OUT027,3124.6292
FDZ09,OUT018,2405.0269
FDY03,OUT049,1813.7115
NCG42,OUT017,2148.8516
DRI13,OUT027,5191.0723
FDQ32,OUT013,2026.5626
FDW16,OUT035,1571.9823
FDU27,OUT046,706.63794
FDR28,OUT010,404.66434
FDQ49,OUT010,374.73047
FDS37,OUT046,1920.3575
FDW26,OUT018,3365.1296
FDX12,OUT018,3543.9539
NCP06,OUT013,2414.153
FDW45,OUT010,371.9753
NCN30,OUT049,1515.2789
FDN24,OUT049,780.5313
NCL41,OUT027,886.1405
FDR02,OUT019,234.25113
FDD09,OUT010,396.20798
FDS33,OUT010,263.60583
FDU22,OUT045,1932.6179
FDI53,OUT013,2792.956
DRH01,OUT049,2805.6135
FDX32,OUT013,2318.1072
NCP30,OUT018,344.08688
FDB60,OUT045,3225.02
FDB14,OUT049,1448.7202
NCP02,OUT035,1039.4288
FDJ10,OUT017,2335.6484
FDG34,OUT046,1818.604
NCB18,OUT017,1444.2249
FDM16,OUT049,1194.7463
FDW25,OUT018,1114.7417
FDB35,OUT010,257.33228
DRN11,OUT013,2561.4436
FDF41,OUT019,556.50415
FDH16,OUT045,1414.8961
NCQ50,OUT018,3233.3906
DRH23,OUT018,576.68353
DRJ37,OUT013,2667.3352
DRJ24,OUT027,4693.1157
FDY16,OUT035,3095.3416
FDQ27,OUT045,1741.8615
FDZ33,OUT045,2420.8923
FDF29,OUT045,2151.4902
FDA08,OUT049,2657.4773
FDG31,OUT046,1040.6465
FDE34,OUT019,512.96545
NCR30,OUT027,1950.9238
FDV33,OUT035,4394.871
DRZ24,OUT018,1693.7455
NCL54,OUT035,2937.6482
FDR12,OUT049,2835.2307
NCC54,OUT046,3977.7883
DRN59,OUT013,748.44653
FDX50,OUT019,247.29916
FDV31,OUT027,4748.346
NCA29,OUT027,4569.8413
FDW60,OUT049,2930.1755
FDX08,OUT017,3044.8027
DRD49,OUT013,3567.7058
FDD33,OUT046,3555.376
FDW35,OUT013,478.10477
FDJ36,OUT017,1681.375
FDV51,OUT035,2823.8223
FDW36,OUT046,1745.2756
FDH35,OUT046,2703.361
NCS30,OUT027,3451.14
FDN49,OUT017,593.5156
FDL08,OUT018,3411.2097
FDI09,OUT013,4206.7144
FDP19,OUT018,1800.2993
FDU21,OUT010,86.91164
NCP41,OUT045,1753.9604
FDY10,OUT013,1780.598
FDP12,OUT018,315.12448
NCN26,OUT049,1885.3097
FDK44,OUT013,3030.0332
FDC28,OUT049,1747.8616
FDJ41,OUT027,6533.035
NCT29,OUT035,2111.0806
NCH42,OUT019,565.1024
FDU60,OUT018,2470.9749
FDS02,OUT045,3155.8743
FDC51,OUT046,2044.4094
FDU03,OUT013,3062.5188
FDX39,OUT045,3499.946
NCY05,OUT010,131.95657
NCL06,OUT027,6843.448
FDD32,OUT035,1366.8994
NCN41,OUT045,1991.1455
NCX53,OUT049,2291.547
FDU57,OUT019,418.45123
FDQ23,OUT046,1720.8787
FDQ52,OUT045,4063.7803
FDC14,OUT045,618.8204
FDY09,OUT035,3006.3665
FDQ28,OUT045,2564.7344
FDV25,OUT046,3673.6797
FDJ07,OUT035,2009.5054
DRB25,OUT049,1682.7493
FDK52,OUT019,509.43195
FDY52,OUT027,1703.7716
FDB28,OUT046,3255.1226
FDT36,OUT035,624.9559
FDV25,OUT017,3714.6118
NCN07,OUT027,3440.3665
FDC57,OUT017,3199.1475
FDQ03,OUT018,3386.6428
FDU23,OUT017,2785.827
NCX41,OUT035,3599.9126
NCD06,OUT035,811.2749
FDW08,OUT045,1693.4415
NCU29,OUT017,2440.4973
NCE06,OUT013,2647.2844
FDV52,OUT010,299.19986
FDB02,OUT017,2955.5417
NCR18,OUT045,674.0096
FDK16,OUT049,1497.5048
NCQ29,OUT010,635.96484
FDZ01,OUT019,266.4466
FDW27,OUT035,2668.019
FDD17,OUT018,3207.9524
FDW39,OUT013,2891.021
DRH59,OUT045,1148.5037
FDS52,OUT013,1580.5042
FDU40,OUT027,5192.9585
NCF54,OUT013,2849.7583
FDH46,OUT045,1696.1558
NCP14,OUT049,1653.6041
FDH50,OUT049,3012.428
DRF15,OUT010,309.10062
FDV27,OUT027,2325.0068
NCJ06,OUT049,1925.7911
FDN02,OUT018,3090.8333
FDQ51,OUT049,713.8507
FDQ07,OUT017,3699.2043
FDS45,OUT049,1763.9281
NCJ06,OUT045,1962.7104
FDD36,OUT035,2002.255
FDY25,OUT045,3003.8923
FDU52,OUT046,2559.713
DRK47,OUT017,3774.1482
NCL30,OUT017,2124.605
FDN22,OUT035,4217.9897
NCF30,OUT027,3345.6619
FDK03,OUT035,4324.09
FDT45,OUT017,899.3738
NCC54,OUT027,6324.012
FDP08,OUT018,2916.455
FDU44,OUT046,2705.2942
DRG39,OUT035,910.7155
FDU32,OUT049,1981.7242
FDY27,OUT049,2917.9468
NCP54,OUT013,1908.147
NCZ41,OUT049,2022.3435
DRL49,OUT013,2509.99
FDI05,OUT018,953.1806
FDY56,OUT045,3733.955
DRC13,OUT013,2138.3848
NCV29,OUT017,3006.656
FDR24,OUT049,1409.5756
FDZ34,OUT018,2824.2693
FDP37,OUT035,2107.791
FDX08,OUT027,4802.5415
FDS57,OUT045,2283.9678
NCG18,OUT049,1646.3868
FDK25,OUT018,2477.157
FDH53,OUT049,1277.038
DRI59,OUT018,3134.5208
FDA52,OUT046,2889.0728
FDT20,OUT010,98.98512
FDE36,OUT019,396.39987
FDI24,OUT017,2893.3857
FDB28,OUT018,3000.4426
FDV11,OUT017,2951.9146
FDP01,OUT046,2521.9294
FDD34,OUT027,4375.9077
FDJ50,OUT027,1488.3744
FDZ44,OUT013,1853.7124
DRO59,OUT035,1299.8726
DRB48,OUT045,640.9236
FDR21,OUT018,2591.3225
NCE42,OUT010,576.0999
FDO23,OUT046,1466.0864
NCE30,OUT018,3211.6384
FDQ22,OUT035,672.6692
FDY01,OUT045,1846.4574
FDS08,OUT017,2970.542
FDG28,OUT018,3452.6584
FDQ51,OUT018,510.67386
FDB05,OUT017,4148.234
FDO56,OUT049,1894.2288
FDE02,OUT018,1213.2418
FDN45,OUT017,3670.5386
FDS09,OUT013,587.375
NCA54,OUT018,2716.6243
FDP09,OUT010,521.50464
FDC53,OUT045,1615.3911
NCM55,OUT017,3097.5366
FDL09,OUT018,2477.0452
FDA11,OUT019,184.7295
FDA50,OUT045,1488.128
FDC23,OUT017,2968.9783
FDE22,OUT049,2590.617
FDD23,OUT046,3107.1594
NCA29,OUT049,2830.5237
FDK38,OUT046,2426.6978
DRC13,OUT046,2022.7817
NCP43,OUT049,2921.5767
FDX28,OUT049,1580.5178
FDF08,OUT049,1424.4933
FDZ33,OUT046,2453.7961
FDD10,OUT049,2934.5178
FDO58,OUT017,2685.8958
FDI50,OUT017,3856.1797
FDO58,OUT045,2700.615
FDX08,OUT013,2991.6177
NCK17,OUT010,122.120285
FDF39,OUT035,4434.2183
FDU45,OUT010,325.91885
NCJ18,OUT018,1614.4728
DRC27,OUT019,534.9933
DRC25,OUT035,1479.4325
FDU59,OUT035,2725.2944
FDU28,OUT035,3202.2854
NCP30,OUT046,642.09454
FDB39,OUT018,601.25446
FDE41,OUT013,1398.5391
DRH11,OUT010,93.479164
FDA58,OUT045,3870.7136
FDU50,OUT046,1914.1871
FDM34,OUT013,2186.5579
FDM44,OUT027,2782.4812
FDR39,OUT045,2983.2593
FDM25,OUT045,2889.8535
FDQ49,OUT049,2533.9812
DRH25,OUT018,549.5683
FDM09,OUT027,4558.4116
FDL44,OUT019,361.5899
NCR42,OUT018,249.47093
DRL59,OUT046,832.6488
FDX43,OUT013,2797.9607
DRK47,OUT010,506.79987
FDU48,OUT018,1867.8914
FDY12,OUT045,777.4608
NCN43,OUT018,1760.1649
NCM55,OUT018,2755.251
FDQ21,OUT027,3314.1008
FDX13,OUT035,4250.539
NCK30,OUT027,6673.8213
FDG20,OUT049,2827.085
DRG27,OUT017,628.89417
FDY14,OUT018,3846.2146
FDP59,OUT035,1746.5406
FDU60,OUT017,2801.1887
NCC18,OUT019,424.0251
DRJ39,OUT017,3600.3079
FDS07,OUT049,1800.5692
FDM08,OUT027,5919.3247
FDP51,OUT045,1956.644
FDU16,OUT035,1408.9543
FDH12,OUT013,1799.5685
DRE48,OUT010,464.63208
NCL42,OUT027,6434.0293
FDR21,OUT045,2889.9124
NCW29,OUT035,2252.9172
FDO11,OUT013,4271.809
NCM31,OUT049,2299.0586
FDV35,OUT019,457.07
FDF58,OUT017,1026.0636
NCE43,OUT049,2737.1956
FDA02,OUT035,2455.0217
DRL37,OUT010,97.66352
FDR24,OUT018,1208.0243
FDW59,OUT049,1315.7955
FDS22,OUT049,693.72955
FDW24,OUT017,838.8569
FDU24,OUT035,1625.2472
FDA21,OUT027,4943.8027
FDH58,OUT027,3184.781
FDW36,OUT018,1423.8489
FDI45,OUT027,4663.9507
FDU01,OUT018,2775.0046
FDF35,OUT027,2990.8123
FDU43,OUT019,596.41156
